Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C2, C6, C7, C8",1206,5,CL31A106KBHNNNE,C13585
"C11, C12",1206,2,22uF/10V,C12891
C13,0402,1,75pF/50V,C107010
"C14, C15, C17, C18, C19, C20, C21, C24, C25, C26, C27, C30, C31, C32, C35, C4, C9",0402,17,0.1uF/50V,C307331
C16,0603,1,4.7uF/10V,C19666
"C22, C23",0402,2,12pF/50V,C1547
C28,0603,1,10uF/6.3V,C19702
C33,0603,1,2.2uF/6.3V,C23630
C36,0402,1,1uF/10V,C52923
D2,DIONM5336X250N,1,SMBJ28CAQ-13-F,C1975352
D3,D_SOD-323,1,B5819WS,B5819WS
D4,DIOM5126X245N,1,SS54,C22452
"IC1, IC2",SOIC127P600X175-9N,2,"TB67H450FNG,EL",C545417
J1,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,PC_CONN,C136657
J2,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,MT6816_CONN,C136657
J4,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,DEBUG,C160403
J5,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,CAN_IN,C160405
J6,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,CAN_OUT,C160405
J7,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,ESP_DOWNLOAD,C160403
J8,PinHeader_1x02_P2.54mm_Vertical,1,BOOT_EN,
L2,L_Sunlord_SWPA4020S,1,10uH,C436512
"LED1, LED4",0603,2,LED_0603_Red_WIFI,
"LED2, LED5",0603,2,LED_0603_Blue_BLE,
R1,0402,1,511k/0.063w,C441727
"R10, R11, R13, R14, R15, R32",0402,6,10k/0.063w,C71617
"R12, R28, R31, R33, R34, R9",0402,6,4.7K/0.063w,C400631
"R18, R19, R21, R22",0402,4,1k/0.063w,C242161
R2,0402,1,105k/0.063w,C416464
"R20, R23",1206,2,0.1/0.25w,C25334
"R26, R29",0603,2,120/0.1w,C22787
R6,0402,1,49.9R/0.063w,C149909
R7,0402,1,100k/0.063w,C192169
R8,0402,1,13.3k/0.063w,C881370
RT1,THRMC1608X95N,1,NCP18XH103F03RB,C13564
"S1, S2, S3",TSB008A2518A,3,TSB008A2518A,C2888455
"TP1, TP2, TP3, TP4",custom_pad_2_5,4,PAD_4_12,
U1,SOT-23-6,1,TPS54202DDC,C191884
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,C8304
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232,C46596301
U4,SOT95P237X112-3N,1,TL431AIDBZR,C23892
U5,SO-8_3.9x4.9mm_P1.27mm,1,MT6816CT,C5449395
U6,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,YSX321SL_12Mhz,C9002
