Designator,Mid X,Mid Y,Rotation,Layer
C1,72.15,-59.6,180.0,top
C10,76.2,-72.08,90.0,top
C11,67.4,-82.1,180.0,bottom
C12,56.6,-69.6625,90.0,bottom
C13,65.1,-69.5625,180.0,bottom
C14,65.3,-78.0625,270.0,bottom
C15,63.75,-80.15,0.0,bottom
C16,61.87,-80.15,180.0,bottom
C17,61.55,-86.25,180.0,bottom
C18,61.55,-87.25,180.0,bottom
C19,61.55,-85.25,0.0,bottom
C2,72.15,-61.95,180.0,top
C20,66.45,-80.35,270.0,bottom
C21,74.5,-71.5,90.0,top
C22,68.1,-71.5,90.0,top
C23,70.18,-65.245,90.0,bottom
C24,71.63,-64.725,0.0,bottom
C25,64.05,-65.23,90.0,bottom
C26,65.5,-64.71,0.0,bottom
C27,73.3,-74.45,0.0,bottom
C28,73.9,-73.2,0.0,bottom
C29,75.2,-78.3,270.0,bottom
C3,76.9,-63.95,0.0,top
C30,76.44,-78.81,270.0,bottom
C31,89.98,-69.6,0.0,top
C4,72.1,-64.3,180.0,top
C5,78.3,-73.4,270.0,top
C6,79.1,-66.8,180.0,top
C7,81.48,-68.6,0.0,top
C8,83.6,-76.675,90.0,top
C9,76.6,-76.7,90.0,top
D1,76.1,-58.7,90.0,top
D2,80.1,-58.5,90.0,top
D3,80.5,-63.9,90.0,top
D4,64.45,-88.95,0.0,top
D5,61.05,-88.95,0.0,top
IC1,74.165,-60.2,90.0,bottom
IC2,67.595,-60.2,90.0,bottom
J1,54.0,-76.7,270.0,top
J2,54.0,-68.7,270.0,top
J3,71.0,-53.0,180.0,top
J4,71.0,-87.0,0.0,top
J5,54.0,-61.7,270.0,top
J6,88.0,-63.0,90.0,top
J9,80.8,-85.045,0.0,top
L1,80.1,-76.7,270.0,top
LED1,77.8,-89.2,180.0,top
LED2,80.8,-89.2,180.0,top
R1,79.58,-68.6,180.0,top
R10,61.6,-87.7,0.0,top
R11,71.9,-71.5,270.0,top
R12,70.7,-71.51,270.0,top
R13,69.18,-65.225,270.0,bottom
R14,71.62,-65.725,0.0,bottom
R15,63.05,-65.21,270.0,bottom
R16,65.5,-65.71,0.0,bottom
R17,78.1,-59.9375,90.0,bottom
R18,63.6,-60.5,90.0,bottom
R19,60.8,-51.5,270.0,top
R2,77.2,-72.08,90.0,top
R20,66.85,-88.15,270.0,bottom
R21,75.7,-74.94,270.0,bottom
R22,76.7,-74.94,270.0,bottom
R23,76.5,-87.4,270.0,top
R24,77.5,-87.4,270.0,top
R25,88.1,-69.59,0.0,top
R3,77.2,-70.2,90.0,top
R4,77.69,-68.6,180.0,top
R5,76.2,-69.1,90.0,top
R6,63.47,-85.25,180.0,bottom
R7,66.65,-75.2,270.0,bottom
R8,67.45,-80.36,90.0,bottom
R9,65.0,-87.7,0.0,top
RT1,66.95,-77.75,90.0,bottom
S1,73.2,-75.6,270.0,top
S2,69.4,-75.6,270.0,top
S3,88.2,-75.8,90.0,top
TP1,75.5,-52.78,0.0,bottom
TP2,72.5,-52.78,0.0,bottom
TP3,69.5,-52.78,0.0,bottom
TP4,66.5,-52.78,0.0,bottom
U1,79.9,-70.9,0.0,top
U2,60.95,-73.9,0.0,bottom
U3,63.805,-57.725,0.0,top
U4,71.0,-70.0,0.0,bottom
U5,64.3,-87.75,90.0,bottom
U6,84.35,-72.0,90.0,bottom
Y1,62.8,-82.4125,0.0,bottom
